timestamp,Traffic_bps,Traffic_bps_scaled,Traffic_Mbps_scaled,Traffic_Predicted_Mbps,Traffic_Prediction_Uncertainty
2019-04-17 23:00,1120862013,216998885.7168,216.9988857168,153.66673278808594,128.9076581621559
2019-04-17 23:15,1043994543,202117343.5248,202.1173435248,154.80274963378906,129.60487419137564
2019-04-17 23:30,956115882,185104034.7552,185.1040347552,154.75466918945312,129.82805550875312
2019-04-17 23:45,726840129,140716248.97439998,140.71624897439995,152.6925811767578,129.82805550875312
2019-04-18 00:00,677258286,131117204.1696,131.1172041696,146.17144775390625,129.82805550875312
2019-04-18 00:15,608154643,117738738.8848,117.7387388848,137.34925842285156,129.82805550875312
2019-04-18 00:30,565765827,109532264.1072,109.5322641072,127.15467834472656,129.82805550875312
2019-04-18 00:45,522400267,101136691.6912,101.1366916912,116.54693603515625,129.82805550875312
2019-04-18 01:00,455751581,88233506.0816,88.2335060816,105.99422454833984,129.82805550875312
2019-04-18 01:15,440661635,85312092.536,85.312092536,95.9919204711914,129.82805550875312
2019-04-18 01:30,356363749,68992021.8064,68.9920218064,87.31519317626953,129.82805550875312
2019-04-18 01:45,304246395,58902102.072,58.902102072,79.1899642944336,129.82400967651063
2019-04-18 02:00,268761501,52032226.5936,52.0322265936,71.52230834960938,129.82805550875312
2019-04-18 02:15,245722933,47571959.8288,47.5719598288,64.70775604248047,129.79613707712565
2019-04-18 02:30,217243278,42058298.6208,42.0582986208,58.89289855957031,129.81122343117278
2019-04-18 02:45,203912590,39477477.424,39.477477424,53.99028778076172,129.81995204883884
2019-04-18 03:00,173695667,33627481.1312,33.6274811312,50.21147155761719,129.83459017657339
2019-04-18 03:15,165678599,32075376.7664,32.0753767664,47.36396026611328,129.84068841351035
2019-04-18 03:30,138032330,26723059.088,26.723059088,45.38428497314453,129.87331457089454
2019-04-18 03:45,125674042,24330494.5312,24.3304945312,43.89708709716797,129.97428344551804
2019-04-18 04:00,124465848,24096588.1728,24.0965881728,42.896324157714844,129.94005310975197
2019-04-18 04:15,166306669,32196971.1184,32.1969711184,42.44478225708008,129.79850795841062
2019-04-18 04:30,152316886,29488549.1296,29.4885491296,43.142616271972656,129.7621662408037
2019-04-18 04:45,110925777,21475230.4272,21.4752304272,44.74629592895508,129.71238952924867
2019-04-18 05:00,106943833,20704326.0688,20.7043260688,46.162437438964844,129.70922835420205
2019-04-18 05:15,114734179,22212537.0544,22.2125370544,48.33083724975586,129.86400797719384
2019-04-18 05:30,119536146,23142197.8656,23.1421978656,51.018394470214844,129.87487156755927
2019-04-18 05:45,121410224,23505019.3664,23.5050193664,53.87696075439453,129.97060327158314
2019-04-18 06:00,161390744,31245248.0384,31.2452480384,56.88812255859375,129.8902292164798
2019-04-18 06:15,204891982,39667087.7152,39.6670877152,60.25217819213867,129.82813807675808
2019-04-18 06:30,250436892,48484582.2912,48.4845822912,63.9393196105957,129.81341738101858
2019-04-18 06:45,287714211,55701471.2496,55.7014712496,68.05870819091797,129.8024594272189
2019-04-18 07:00,340510371,65922807.8256,65.9228078256,72.38890075683594,129.78328005921213
2019-04-18 07:15,377394553,73063585.46079999,73.0635854608,76.71731567382812,129.78328005921213
