step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation
169,30.1828,60.0217,OAI-1x,0.228288,0.057072,0.927362,0.0075635,0
170,48.1467,63.167,OAI-1x,0.430332,0.107583,0.934455,0.00893793,0
171,50.1817,67.0579,OAI-1x,0.45607,0.114018,0.934756,0.00908837,0
172,70.1027,71.1871,OAI-1x,0.639598,0.159899,0.93395,0.00912372,0
173,88.5354,75.7401,OAI-1x,0.802004,0.200501,0.929087,0.00905857,0
174,125.4135,81.0395,OAI-1x,1.146999,0.28675,0.921366,0.00914574,0
175,115.9385,87.9818,OAI-1x,1.060198,0.265049,0.923413,0.00914448,0
176,132.1219,94.5885,DPDK,0.820398,0.2051,0.975119,0.00620941,0
177,154.9087,103.1798,DPDK,0.820652,0.205163,0.975249,0.00529765,0
178,183.3662,112.8252,DPDK,0.820888,0.205222,0.97527,0.00447677,0
179,153.5326,123.6819,DPDK,0.820639,0.20516,0.975244,0.00534504,0
180,150.0945,131.9366,DPDK,0.820606,0.205151,0.975238,0.00546726,0
181,138.5827,137.2732,DPDK,0.82048,0.20512,0.97518,0.00592051,0
182,117.4207,139.2607,DPDK,0.820158,0.20504,0.974996,0.00698479,0
183,109.4596,137.4044,DPDK,0.820012,0.205003,0.974996,0.00749146,0
184,122.2857,132.9374,DPDK,0.820244,0.205061,0.975029,0.0067076,0
185,120.5058,128.4396,DPDK,0.820213,0.205053,0.975006,0.00680642,0
186,122.748,124.0882,DPDK,0.820252,0.205063,0.975033,0.00668241,0
187,119.8609,120.409,DPDK,0.820201,0.20505,0.975001,0.00684294,0
188,121.7882,117.2557,DPDK,0.820235,0.205059,0.975022,0.00673493,0
189,127.4531,114.8724,DPDK,0.820333,0.205083,0.975081,0.00643635,0
190,140.3041,113.5566,DPDK,0.8205,0.205125,0.975192,0.00584801,0
191,128.8112,113.9199,DPDK,0.820355,0.205089,0.975092,0.00636866,0
192,127.7868,114.2985,DPDK,0.820338,0.205085,0.975081,0.00641959,0
193,152.4733,114.5701,DPDK,0.820629,0.205157,0.975245,0.00538211,0
194,153.6431,116.5353,DPDK,0.82064,0.20516,0.975242,0.00534121,0
