step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation
409,130.1758,,OAI-1x,1.189652,0.297413,0.921029,0.00913881,0
410,136.5338,,OAI-1x,1.24416,0.31104,0.920618,0.00911247,0
411,132.4029,,OAI-1x,1.208993,0.302248,0.920884,0.00913117,0
412,115.9121,,OAI-1x,1.060022,0.265006,0.923393,0.00914505,0
413,95.206,,OAI-1x,0.862408,0.215602,0.927703,0.00905833,0
414,105.1773,,OAI-1x,0.958614,0.239653,0.92587,0.00911426,0
415,111.2819,,OAI-1x,1.017508,0.254377,0.924658,0.00914352,0
416,90.2755,,OAI-1x,0.817793,0.204448,0.928683,0.00905886,0
417,91.0615,,OAI-1x,0.824848,0.206212,0.928499,0.00905814,0
418,99.2677,,OAI-1x,0.900733,0.225183,0.926943,0.00907378,0
419,106.4789,,OAI-1x,0.971519,0.24288,0.925637,0.00912406,0
420,98.8357,,OAI-1x,0.896638,0.224159,0.927021,0.009072,0
421,92.5448,,OAI-1x,0.838141,0.209535,0.928215,0.00905659,0
422,106.7661,,OAI-1x,0.974429,0.243607,0.925593,0.00912676,0
423,119.2612,,OAI-1x,1.090668,0.272667,0.922437,0.0091452,0
424,121.7347,,OAI-1x,1.11312,0.27828,0.921845,0.00914382,0
425,102.5741,,OAI-1x,0.932219,0.233055,0.926329,0.00908825,0
426,112.5718,,OAI-1x,1.029578,0.257394,0.924308,0.00914596,0
427,121.9793,,OAI-1x,1.115275,0.278819,0.921815,0.00914315,0
428,103.3127,,OAI-1x,0.939728,0.234932,0.926212,0.00909596,0
429,124.3182,,OAI-1x,1.13696,0.28424,0.921508,0.00914556,0
430,92.1928,,OAI-1x,0.834954,0.208739,0.92829,0.00905661,0
431,96.1821,,OAI-1x,0.87147,0.217867,0.927514,0.00906063,0
432,78.2607,,OAI-1x,0.70327,0.175818,0.931739,0.00898624,0
433,123.5572,,OAI-1x,1.129983,0.282496,0.921602,0.00914543,0
434,131.826,,OAI-1x,1.204052,0.301013,0.92092,0.00913364,0
435,125.2054,,OAI-1x,1.145139,0.286285,0.921409,0.00914608,0
436,109.8,,OAI-1x,1.003534,0.250884,0.925066,0.00913965,0
437,58.824,,OAI-1x,0.543755,0.135939,0.935624,0.00924377,0
438,45.6241,,OAI-1x,0.396432,0.099108,0.934078,0.00868908,0
439,43.4581,,OAI-1x,0.365783,0.091446,0.933734,0.00841691,0
440,43.1343,,OAI-1x,0.361069,0.090267,0.933686,0.00837082,0
441,34.1701,,OAI-1x,0.276622,0.069155,0.930052,0.00809543,0
442,27.1876,,OAI-1x,0.230451,0.057613,0.925199,0.00847635,0
443,24.6668,,OAI-1x,0.247253,0.061813,0.923081,0.01002374,0
444,26.6574,,OAI-1x,0.236206,0.059051,0.924782,0.00886078,0
445,17.4435,,OAI-1x,0.187688,0.046922,0.921221,0.01075978,0
446,11.5483,,OAI-1x,0.122364,0.030591,0.916516,0.01059587,0
447,11.1563,,OAI-1x,0.117573,0.029393,0.916233,0.01053871,0
448,14.8639,,OAI-1x,0.161601,0.0404,0.920158,0.01087204,0
449,12.6371,,OAI-1x,0.135385,0.033846,0.917806,0.0107133,0
450,11.1831,,OAI-1x,0.117914,0.029479,0.916251,0.01054392,0
451,9.6671,,OAI-1x,0.097936,0.024484,0.914542,0.01013081,0
452,5.7613,,OAI-1x,0.03373,0.008432,0.903763,0.00585454,0
453,6.2881,,OAI-1x,0.059006,0.014752,0.905634,0.0093837,0
454,8.99,,OAI-1x,0.088048,0.022012,0.913027,0.00979397,0
455,7.7988,,OAI-1x,0.098526,0.024632,0.910031,0.01263352,0
456,7.07,,OAI-1x,0.093135,0.023284,0.908073,0.01317329,0
457,9.6391,,OAI-1x,0.097504,0.024376,0.914485,0.01011541,0
458,17.2042,,OAI-1x,0.185457,0.046364,0.921249,0.01077973,0
459,27.55,,OAI-1x,0.22664,0.05666,0.925468,0.0082265,0
460,38.4913,,OAI-1x,0.309669,0.077417,0.932691,0.00804517,0
461,40.4867,,OAI-1x,0.324454,0.081113,0.933274,0.00801383,0
462,65.0507,,OAI-1x,0.599467,0.149867,0.935328,0.00921538,0
463,68.8999,,OAI-1x,0.630483,0.157621,0.934268,0.00915072,0
464,78.233,,OAI-1x,0.703066,0.175767,0.93174,0.00898682,0
465,76.2247,,OAI-1x,0.685002,0.17125,0.932299,0.00898661,0
466,86.8141,,OAI-1x,0.78571,0.196427,0.929497,0.00905049,0
467,66.6329,,OAI-1x,0.612685,0.153171,0.934896,0.00919493,0
468,64.3675,,OAI-1x,0.593567,0.148392,0.935526,0.00922153,0
469,66.0678,,OAI-1x,0.608068,0.152017,0.935038,0.0092037,0
470,71.2206,,OAI-1x,0.647938,0.161985,0.933659,0.00909762,0
471,64.2444,,OAI-1x,0.592404,0.148101,0.935553,0.00922111,0
472,58.4183,,OAI-1x,0.540197,0.135049,0.935598,0.00924704,0
473,56.8421,,OAI-1x,0.526056,0.131514,0.935467,0.0092547,0
474,71.8555,,OAI-1x,0.652655,0.163164,0.933476,0.00908288,0
475,71.0877,,OAI-1x,0.64698,0.161745,0.933682,0.00910116,0
