step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation
125,175.8148,,OAI-1x,1.60874,0.402185,0.918565,0.0091502,0
126,189.4203,,OAI-1x,1.725938,0.431484,0.915697,0.00911168,0
127,169.7101,,OAI-1x,1.553202,0.388301,0.918862,0.00915209,0
128,187.6143,,OAI-1x,1.710888,0.427722,0.916245,0.00911917,0
129,187.9461,,OAI-1x,1.713676,0.428419,0.916134,0.00911791,0
130,165.2744,,OAI-1x,1.512684,0.378171,0.919077,0.00915256,0
131,216.0363,,OAI-1x,1.962172,0.490543,0.910798,0.0090826,0
132,231.2189,,OAI-1x,2.091187,0.522797,0.911168,0.00904419,0
133,224.0286,,OAI-1x,2.031811,0.507953,0.910997,0.00906942,0
134,276.9538,,OAI-1x,2.431965,0.607991,0.912288,0.00878112,0
135,299.0991,,OAI-1x,2.578036,0.644509,0.912838,0.00861934,0
136,290.775,,OAI-1x,2.524413,0.631103,0.912627,0.00868167,0
137,319.2891,,OAI-1x,2.702135,0.675534,0.913306,0.00846297,0
138,306.7967,,OAI-1x,2.626268,0.656567,0.913001,0.00856029,0
139,328.6642,,OAI-1x,2.757189,0.689297,0.9135,0.00838908,0
140,265.4052,,OAI-1x,2.350869,0.587717,0.911969,0.00885766,0
141,239.5913,,OAI-1x,2.157826,0.539456,0.911344,0.00900628,0
142,241.273,,OAI-1x,2.171046,0.542761,0.911379,0.0089983,0
143,194.8154,,OAI-1x,1.770232,0.442558,0.914047,0.00908671,0
144,155.0422,,OAI-1x,1.416933,0.354233,0.919642,0.00913902,0
145,162.7119,,OAI-1x,1.489348,0.372337,0.919219,0.00915329,0
146,150.3839,,OAI-1x,1.371214,0.342803,0.919886,0.00911809,0
147,140.6484,,OAI-1x,1.279109,0.319777,0.920367,0.00909437,0
148,135.4528,,OAI-1x,1.235129,0.308782,0.920673,0.00911852,0
149,119.3241,,OAI-1x,1.091287,0.272822,0.922425,0.00914557,0
150,83.3117,,OAI-1x,0.750886,0.187722,0.930373,0.00901298,0
151,80.4055,,OAI-1x,0.723279,0.18082,0.93115,0.00899539,0
152,74.4896,,OAI-1x,0.671691,0.167923,0.932805,0.00901724,0
153,54.7622,,OAI-1x,0.505404,0.126351,0.935271,0.00922906,0
154,59.223,,OAI-1x,0.54731,0.136827,0.935656,0.0092415,0
155,53.6189,,OAI-1x,0.49349,0.123373,0.935157,0.00920366,0
156,55.0654,,OAI-1x,0.508502,0.127126,0.935299,0.00923451,0
157,50.9517,,OAI-1x,0.464686,0.116171,0.934869,0.00912013,0
158,49.9097,,OAI-1x,0.452664,0.113166,0.934722,0.00906965,0
159,33.6896,,OAI-1x,0.268096,0.067024,0.929744,0.00795782,0
160,36.1306,,OAI-1x,0.302328,0.075582,0.931263,0.00836763,0
161,94.3141,,OAI-1x,0.854276,0.213569,0.927872,0.00905778,0
162,69.6796,,OAI-1x,0.636448,0.159112,0.934053,0.00913391,0
163,40.3556,,OAI-1x,0.322544,0.080636,0.933259,0.00799256,0
164,47.7962,,OAI-1x,0.425722,0.106431,0.934417,0.00890703,0
165,29.732,,OAI-1x,0.227615,0.056904,0.927046,0.00765553,0
166,27.3872,,OAI-1x,0.228323,0.057081,0.925344,0.00833685,0
167,23.442,,OAI-1x,0.225225,0.056306,0.921925,0.00960776,0
168,22.6979,,OAI-1x,0.217354,0.054338,0.92119,0.00957594,0
169,38.3465,,OAI-1x,0.309543,0.077386,0.932594,0.00807228,0
170,26.6348,,OAI-1x,0.236428,0.059107,0.924786,0.00887668,0
171,28.0002,,OAI-1x,0.225217,0.056304,0.925804,0.00804339,0
172,46.2569,,OAI-1x,0.405092,0.101273,0.934176,0.00875744,0
173,47.4517,,OAI-1x,0.421231,0.105308,0.934366,0.00887705,0
174,85.0479,,OAI-1x,0.768497,0.192124,0.929952,0.00903605,0
175,85.5247,,OAI-1x,0.773249,0.193312,0.929839,0.00904124,0
176,68.7847,,OAI-1x,0.62957,0.157392,0.934296,0.00915275,0
177,87.4398,,OAI-1x,0.791659,0.197915,0.929365,0.00905376,0
178,85.9296,,OAI-1x,0.777121,0.19428,0.929734,0.00904369,0
179,89.0544,,OAI-1x,0.806758,0.201689,0.928972,0.00905916,0
180,105.4352,,OAI-1x,0.961178,0.240294,0.925834,0.00911629,0
181,79.1319,,OAI-1x,0.711447,0.177862,0.93149,0.00899065,0
182,54.2197,,OAI-1x,0.499774,0.124944,0.935226,0.00921759,0
183,61.1738,,OAI-1x,0.564223,0.141056,0.935789,0.00922329,0
184,70.5582,,OAI-1x,0.643011,0.160753,0.933827,0.0091132,0
185,66.0616,,OAI-1x,0.608037,0.152009,0.935047,0.00920408,0
186,60.384,,OAI-1x,0.557276,0.139319,0.935737,0.00922886,0
187,75.4912,,OAI-1x,0.679186,0.169796,0.93251,0.00899689,0
188,69.3443,,OAI-1x,0.633867,0.158467,0.934148,0.00914088,0
189,60.485,,OAI-1x,0.558134,0.139534,0.935743,0.00922765,0
190,85.607,,OAI-1x,0.774092,0.193523,0.929801,0.00904239,0
191,99.1235,,OAI-1x,0.899518,0.224879,0.92696,0.00907472,0
192,96.5079,,OAI-1x,0.874396,0.218599,0.927456,0.00906035,0
193,136.6252,,OAI-1x,1.244909,0.311227,0.920602,0.00911185,0
194,165.2575,,OAI-1x,1.512547,0.378137,0.91908,0.00915267,0
195,201.2012,,OAI-1x,1.825811,0.456453,0.91217,0.00907456,0
196,186.8416,,OAI-1x,1.704422,0.426105,0.916465,0.00912228,0
197,184.8816,,OAI-1x,1.68783,0.421957,0.9171,0.00912925,0
198,196.5148,,OAI-1x,1.783682,0.44592,0.913533,0.00907658,0
199,166.4016,,OAI-1x,1.522891,0.380723,0.919045,0.0091519,0
200,159.7488,,OAI-1x,1.461706,0.365426,0.919376,0.00915003,0
201,142.1477,,OAI-1x,1.292451,0.323113,0.920276,0.0090923,0
202,154.7196,,OAI-1x,1.41381,0.353453,0.919626,0.00913789,0
203,121.4509,,OAI-1x,1.110494,0.277624,0.92187,0.00914357,0
