Actual_Traffic,Predicted_Traffic,UPF_Config,Energy_Wh_Actual,QoS_Score_Actual,Requested_Action,Executed_Action,Cooldown_Blocked,Reward,SEC
59.77944564819336,,"('OAI', 2)",0.11390382051467896,0.9271629452705383,2,2,False,-0.7621604204177856,0.007621604483574629
77.64921569824219,,"('OAI', 2)",0.15493232011795044,0.9328965544700623,2,2,False,-0.798114001750946,0.007981140166521072
88.1260986328125,,"('OAI', 2)",0.18723154067993164,0.9338337182998657,2,2,False,-0.8498347401618958,0.008498347364366055
98.4356689453125,,"('DPDK', 1)",0.2049478441476822,0.9748921394348145,0,0,False,-0.8628194332122803,0.008328194729983807
92.40782928466797,,"('DPDK', 1)",0.20491807162761688,0.9748288989067078,0,0,False,-0.8870159983634949,0.008870160207152367
113.16378021240234,,"('DPDK', 1)",0.20502038300037384,0.9749972820281982,0,0,False,-0.7246854901313782,0.007246855180710554
107.78298950195312,,"('DPDK', 1)",0.2049950212240219,0.9749882221221924,0,0,False,-0.7607694864273071,0.007607694715261459
117.49063873291016,,"('DPDK', 1)",0.20503991842269897,0.9749974608421326,0,0,False,-0.698063850402832,0.006980638485401869
113.30455017089844,,"('DPDK', 1)",0.20502102375030518,0.9749985933303833,0,0,False,-0.7237874269485474,0.007237874437123537
132.88963317871094,,"('DPDK', 1)",0.2051020860671997,0.9751277565956116,0,0,False,-0.6173607110977173,0.006173606961965561
126.87689971923828,,"('DPDK', 1)",0.20508071780204773,0.9750750660896301,0,0,False,-0.646550178527832,0.006465502083301544
135.38723754882812,,"('DPDK', 1)",0.20511004328727722,0.9751485586166382,0,0,False,-0.6059951782226562,0.006059952080249786
125.74337005615234,,"('DPDK', 1)",0.2050759196281433,0.9750646352767944,0,0,False,-0.6523633599281311,0.0065236338414251804
119.95101928710938,,"('DPDK', 1)",0.20505070686340332,0.9750006794929504,0,0,False,-0.6837814450263977,0.0068378145806491375
132.6461944580078,,"('DPDK', 1)",0.20510129630565643,0.9751251339912415,0,0,False,-0.6184912919998169,0.006184913218021393
141.31793212890625,,"('DPDK', 1)",0.2051278054714203,0.97519850730896,0,0,False,-0.5806136131286621,0.0058061364106833935
166.45233154296875,,"('DPDK', 1)",0.2051888257265091,0.9752559065818787,0,0,False,-0.4930872917175293,0.0049308729358017445
169.05531311035156,,"('DPDK', 1)",0.2051944136619568,0.9752567410469055,0,0,False,-0.4855083227157593,0.004855083301663399
135.51058959960938,,"('DPDK', 1)",0.20511043071746826,0.9751508831977844,0,0,False,-0.6054447293281555,0.006054447498172522
146.2149658203125,,"('DPDK', 1)",0.20514115691184998,0.975236177444458,0,0,False,-0.5612042546272278,0.005612042732536793
133.94232177734375,,"('DPDK', 1)",0.20510545372962952,0.9751383066177368,0,0,False,-0.6125187277793884,0.006125187501311302
151.43453979492188,,"('DPDK', 1)",0.20515471696853638,0.9752417206764221,0,0,False,-0.5418967604637146,0.005418967455625534
163.99441528320312,,"('DPDK', 1)",0.2051834613084793,0.9752517342567444,0,0,False,-0.5004644989967346,0.005004644859582186
168.7374267578125,,"('DPDK', 1)",0.20519375801086426,0.9752546548843384,0,0,False,-0.4864214360713959,0.004864214453846216
155.98973083496094,,"('DPDK', 1)",0.20516541600227356,0.9752457141876221,0,0,False,-0.5260998010635376,0.0052609979175031185
168.21688842773438,,"('DPDK', 1)",0.20519264042377472,0.9752549529075623,0,0,False,-0.4879239797592163,0.004879239946603775
144.5638427734375,,"('DPDK', 1)",0.20513670146465302,0.9752272367477417,0,0,False,-0.5676016807556152,0.005676016677170992
158.9334716796875,,"('DPDK', 1)",0.20517215132713318,0.975247323513031,0,0,False,-0.5163723826408386,0.005163724068552256
181.4979248046875,,"('DPDK', 1)",0.20521843433380127,0.9752699136734009,0,0,False,-0.45227721333503723,0.004522772040218115
171.819580078125,,"('DPDK', 1)",0.20519989728927612,0.9752567410469055,0,0,False,-0.47771018743515015,0.0047771017998456955
139.85316467285156,,"('DPDK', 1)",0.20512373745441437,0.9751864075660706,0,0,False,-0.5866831541061401,0.005866831634193659
151.79568481445312,,"('DPDK', 1)",0.20515558123588562,0.9752427339553833,0,0,False,-0.5406097769737244,0.00540609797462821
169.1206817626953,,"('DPDK', 1)",0.20519454777240753,0.9752563834190369,0,0,False,-0.4853209853172302,0.00485320994630456
163.76625061035156,,"('DPDK', 1)",0.20518295466899872,0.975252091884613,0,0,False,-0.5011605620384216,0.005011605564504862
177.6939697265625,,"('DPDK', 1)",0.20521126687526703,0.9752631187438965,0,0,False,-0.461943119764328,0.0046194312162697315
156.9007110595703,,"('DPDK', 1)",0.2051675170660019,0.9752487540245056,0,0,False,-0.5230506062507629,0.0052305059507489204
153.45547485351562,,"('DPDK', 1)",0.2051595002412796,0.975242555141449,0,0,False,-0.5347726941108704,0.005347726866602898
162.88783264160156,,"('DPDK', 1)",0.20518101751804352,0.9752503633499146,0,0,False,-0.5038583874702454,0.005038584116846323
161.65701293945312,,"('DPDK', 1)",0.20517829060554504,0.9752518534660339,0,0,False,-0.5076879858970642,0.005076879635453224
152.3063507080078,,"('DPDK', 1)",0.20515678822994232,0.9752442240715027,0,0,False,-0.5388003587722778,0.005388003308326006
135.81993103027344,,"('DPDK', 1)",0.20511141419410706,0.975153923034668,0,0,False,-0.6040686964988708,0.006040686741471291
134.02244567871094,,"('DPDK', 1)",0.2051057070493698,0.9751400351524353,0,0,False,-0.6121532917022705,0.006121532991528511
150.1370391845703,,"('DPDK', 1)",0.2051515132188797,0.9752387404441833,0,0,False,-0.5465713739395142,0.005465713795274496
149.37303161621094,,"('DPDK', 1)",0.20514951646327972,0.9752400517463684,0,0,False,-0.5493615865707397,0.0054936157539486885
198.96865844726562,,"('DPDK', 1)",0.20524953305721283,0.9752856492996216,0,0,False,-0.41262683272361755,0.0041262684389948845
193.4003448486328,,"('DPDK', 1)",0.2052399218082428,0.9752834439277649,0,0,False,-0.4244872033596039,0.004244871903210878
204.50196838378906,,"('DPDK', 1)",0.2052588015794754,0.975289523601532,0,0,False,-0.4014803469181061,0.004014803562313318
221.4680938720703,,"('DPDK', 1)",0.20528578758239746,0.9753057360649109,0,0,False,-0.37077265977859497,0.0037077267188578844
231.17018127441406,,"('DPDK', 1)",0.20530030131340027,0.9753162860870361,0,0,False,-0.35523664951324463,0.0035523665137588978
242.7415313720703,,"('DPDK', 1)",0.20531684160232544,0.975317656993866,0,0,False,-0.3383299708366394,0.0033832998014986515
220.7486114501953,,"('DPDK', 1)",0.20528468489646912,0.9753038883209229,0,0,False,-0.37197911739349365,0.0037197910714894533
247.89199829101562,,"('DPDK', 1)",0.2053239494562149,0.9752901196479797,0,0,False,-0.3313119411468506,0.003313119523227215
243.67816162109375,,"('DPDK', 1)",0.2053181529045105,0.9753116965293884,0,0,False,-0.33703169226646423,0.003370316931977868
212.86309814453125,,"('DPDK', 1)",0.205272376537323,0.9752985835075378,0,0,False,-0.38573595881462097,0.0038573595229536295
219.16844177246094,,"('DPDK', 1)",0.20528225600719452,0.9753056168556213,0,0,False,-0.3746565878391266,0.0037465658970177174
208.15469360351562,,"('DPDK', 1)",0.20526480674743652,0.9752926826477051,0,0,False,-0.39444664120674133,0.003944466356188059
188.9217529296875,,"('DPDK', 1)",0.20523199439048767,0.9752755165100098,0,0,False,-0.43453332781791687,0.004345333203673363
124.26793670654297,,"('DPDK', 1)",0.20506960153579712,0.9750467538833618,0,0,False,-0.6600885391235352,0.006600885186344385
