Actual_Traffic,Predicted_Traffic,OAI_Instances,Energy_Wh_Autoscaler,QoS_Score_Autoscaler,Energy_Wh_DPDK,QoS_Score_DPDK,Energy_Wh_OAI1x,QoS_Score_OAI1x
198.14981,171.92079,1,0.4493987262248993,0.913062572479248,0.2052481323480606,0.9752839207649231,0.4493987262248993,0.913062572479248
190.36385,168.25017,1,0.4334329068660736,0.9153944253921509,0.2052345722913742,0.975278913974762,0.4334329068660736,0.9153944253921509
202.63823,163.08983,1,0.4598254859447479,0.9117535352706909,0.20525571703910828,0.9752909541130066,0.4598254859447479,0.9117535352706909
204.8867,158.63371,1,0.4650863707065582,0.9110863208770752,0.20525944232940674,0.9752917885780334,0.4650863707065582,0.9110863208770752
224.00758,155.14442,1,0.5079256892204285,0.9109979867935181,0.20528964698314667,0.975307047367096,0.5079256892204285,0.9109979867935181
206.33327,154.11372,1,0.4684043228626251,0.9105610251426697,0.20526182651519775,0.9752947092056274,0.4684043228626251,0.9105610251426697
220.22345,153.0389,1,0.49979516863822937,0.9108980894088745,0.20528388023376465,0.9753078818321228,0.49979516863822937,0.9108980894088745
216.26312,153.28917,1,0.491047203540802,0.9108145833015442,0.20527774095535278,0.9753021001815796,0.491047203540802,0.9108145833015442
230.04115,153.81046,1,0.5204153060913086,0.9111248254776001,0.20529864728450775,0.9753154516220093,0.5204153060913086,0.9111248254776001
233.72758,155.57584,1,0.5278295278549194,0.911220908164978,0.20530402660369873,0.975317656993866,0.5278295278549194,0.911220908164978
220.42496,158.05424,1,0.5002512335777283,0.9109179973602295,0.20528419315814972,0.975308358669281,0.5002512335777283,0.9109179973602295
218.26634,159.48703,1,0.49548524618148804,0.9108709692955017,0.2052808552980423,0.9753040671348572,0.49548524618148804,0.9108709692955017
209.71397,160.0349,1,0.47624123096466064,0.9106602072715759,0.20526732504367828,0.975295901298523,0.47624123096466064,0.9106602072715759
242.821,159.2354,1,0.5457314252853394,0.9114142060279846,0.205316960811615,0.9753177165985107,0.5457314252853394,0.9114142060279846
234.8087,160.52933,1,0.5300241708755493,0.9112388491630554,0.20530559122562408,0.9753196835517883,0.5300241708755493,0.9112388491630554
250.99388,161.98045,1,0.5612600445747375,0.9115909337997437,0.20532816648483276,0.9752705693244934,0.5612600445747375,0.9115909337997437
251.5332,164.74489,1,0.5622506141662598,0.9115905165672302,0.20532889664173126,0.9752720594406128,0.5622506141662598,0.9115905165672302
270.57608,167.86038,1,0.5968983173370361,0.9121125340461731,0.2053534984588623,0.975172221660614,0.5968983173370361,0.9121125340461731
323.4708,172.39241,1,0.6817196607589722,0.9133796095848083,0.20540781319141388,0.9748014211654663,0.6817196607589722,0.9133796095848083
364.17914,181.62831,1,0.7380342483520508,0.9142097234725952,0.20544390380382538,0.974484384059906,0.7380342483520508,0.9142097234725952
332.8105,195.69612,1,0.6952676177024841,0.9135816097259521,0.2054164856672287,0.9747412800788879,0.6952676177024841,0.9135816097259521
365.72552,207.85478,1,0.7400743961334229,0.9141974449157715,0.20544518530368805,0.9744670987129211,0.7400743961334229,0.9141974449157715
302.6668,220.48029,1,0.6501490473747253,0.9128987789154053,0.20538759231567383,0.9749462008476257,0.6501490473747253,0.9128987789154053
331.95566,225.73328,1,0.6940221190452576,0.913587212562561,0.20541569590568542,0.9747480154037476,0.6940221190452576,0.913587212562561
336.08884,229.12688,1,0.6999006867408752,0.9136719107627869,0.20541946589946747,0.9747199416160583,0.6999006867408752,0.9136719107627869
309.27673,231.0214,1,0.6604148745536804,0.9130778312683105,0.20539416372776031,0.9748959541320801,0.6604148745536804,0.9130778312683105
295.21872,229.198,1,0.6383002996444702,0.9127337336540222,0.20538000762462616,0.974999189376831,0.6383002996444702,0.9127337336540222
275.668,224.33305,1,0.6057528257369995,0.9122485518455505,0.20535917580127716,0.9751445651054382,0.6057528257369995,0.9122485518455505
244.0287,216.57713,1,0.5480468273162842,0.9114343523979187,0.2053186297416687,0.9753122329711914,0.5480468273162842,0.9114343523979187
160.53145,205.35156,1,0.3672748804092407,0.9193324446678162,0.20517577230930328,0.9752492308616638,0.3672748804092407,0.9193324446678162
160.71133,186.3285,1,0.36768877506256104,0.919313371181488,0.20517617464065552,0.975250780582428,0.36768877506256104,0.919313371181488
157.0701,165.34459,1,0.35910308361053467,0.9195073246955872,0.20516790449619293,0.9752487540245056,0.35910308361053467,0.9195073246955872
154.244,145.65286,1,0.3523274064064026,0.9196509718894958,0.20516134798526764,0.9752436876296997,0.3523274064064026,0.9196509718894958
136.81113,128.06458,1,0.3116036057472229,0.9206079244613647,0.20511452853679657,0.975161075592041,0.3116036057472229,0.9206079244613647
126.43498,112.45508,1,0.2890643775463104,0.9212682843208313,0.2050788551568985,0.9750683903694153,0.2890643775463104,0.9212682843208313
98.2447,99.26164,1,0.2227175235748291,0.9271240234375,0.204946830868721,0.9748924970626831,0.2227175235748291,0.9271240234375
83.880226,86.891174,1,0.1891704648733139,0.9302535653114319,0.2048945426940918,0.9747267365455627,0.1891704648733139,0.9302535653114319
85.43559,75.52336,1,0.19307947158813477,0.929842472076416,0.20489872992038727,0.9747477769851685,0.19307947158813477,0.929842472076416
65.63837,66.09406,1,0.1511140763759613,0.9351592063903809,0.204839289188385,0.974071204662323,0.1511140763759613,0.9351592063903809
62.175,57.695076,1,0.14350101351737976,0.9358612298965454,0.20482710003852844,0.973908543586731,0.14350101351737976,0.9358612298965454
61.911446,51.153027,1,0.14285209774971008,0.9358461499214172,0.20482614636421204,0.973897397518158,0.14285209774971008,0.9358461499214172
65.129135,46.536804,1,0.15002799034118652,0.9353035092353821,0.20483754575252533,0.9740475416183472,0.15002799034118652,0.9353035092353821
38.70569,43.814198,1,0.07744943350553513,0.9328182339668274,0.20474159717559814,0.9708859324455261,0.07744943350553513,0.9328182339668274
40.42183,41.00074,1,0.08087226003408432,0.9332758188247681,0.20474295318126678,0.9712404608726501,0.08087226003408432,0.9332758188247681
30.927319,38.78989,1,0.0577789731323719,0.9278846979141235,0.20473460853099823,0.9689356684684753,0.0577789731323719,0.9278846979141235
30.075228,36.71226,1,0.05702527239918709,0.9272772073745728,0.204733744263649,0.9686670303344727,0.05702527239918709,0.9272772073745728
24.1078,35.06571,1,0.05900733545422554,0.9225593209266663,0.204726904630661,0.9665037393569946,0.05900733545422554,0.9225593209266663
24.730207,33.719078,1,0.061958689242601395,0.9231364130973816,0.20472769439220428,0.9667544960975647,0.061958689242601395,0.9231364130973816
21.124332,32.924942,1,0.04997851327061653,0.9207010865211487,0.20472285151481628,0.9656045436859131,0.04997851327061653,0.9207010865211487
23.100521,32.533653,1,0.05541231110692024,0.9215840101242065,0.20472559332847595,0.9662037491798401,0.05541231110692024,0.9215840101242065
32.196175,32.73537,1,0.062151748687028885,0.9287486672401428,0.2047358602285385,0.9693260788917542,0.062151748687028885,0.9287486672401428
42.098076,34.102688,1,0.08652319759130478,0.9335293769836426,0.20474421977996826,0.9714808464050293,0.08652319759130478,0.9335293769836426
39.22251,37.13358,1,0.07753639668226242,0.9330810904502869,0.20474201440811157,0.970995306968689,0.07753639668226242,0.9330810904502869
27.164865,40.821266,1,0.05768640711903572,0.9251723885536194,0.2047305852174759,0.9676845669746399,0.05768640711903572,0.9251723885536194
34.475304,43.79078,1,0.07048975676298141,0.930245578289032,0.20473797619342804,0.9699255228042603,0.07048975676298141,0.930245578289032
25.93506,46.81943,1,0.06103586032986641,0.9242063164710999,0.20472915470600128,0.9672212600708008,0.06103586032986641,0.9242063164710999
29.580711,49.89114,1,0.05684124305844307,0.9269354343414307,0.2047332227230072,0.9685097336769104,0.05684124305844307,0.9269354343414307
47.99836,53.12534,1,0.10709816962480545,0.9344441890716553,0.2047690749168396,0.9722381830215454,0.10709816962480545,0.9344441890716553
70.49388,57.159122,1,0.16063188016414642,0.9338476061820984,0.20485535264015198,0.9742832183837891,0.16063188016414642,0.9338476061820984
90.06549,62.740284,1,0.20396114885807037,0.9287272691726685,0.2049107849597931,0.9748006463050842,0.20396114885807037,0.9287272691726685
83.12714,69.42563,1,0.18723157048225403,0.9304466843605042,0.20489250123500824,0.974719226360321,0.18723157048225403,0.9304466843605042
97.02323,75.508286,1,0.21983027458190918,0.927355170249939,0.2049403339624405,0.9748762845993042,0.21983027458190918,0.927355170249939
80.496445,82.04031,1,0.1810111105442047,0.9311312437057495,0.20488525927066803,0.9746828079223633,0.1810111105442047,0.9311312437057495
97.226845,87.42571,1,0.2202908843755722,0.9273259043693542,0.20494142174720764,0.9748806357383728,0.2202908843755722,0.9273259043693542
92.727,92.35304,1,0.20994563400745392,0.9281836748123169,0.20491938292980194,0.9748325347900391,0.20994563400745392,0.9281836748123169
101.9575,96.12636,1,0.23156143724918365,0.9264402985572815,0.20496612787246704,0.9749300479888916,0.23156143724918365,0.9264402985572815
119.30823,99.48097,1,0.2727782130241394,0.9224511384963989,0.20504790544509888,0.9749975204467773,0.2727782130241394,0.9224511384963989
88.71131,103.42039,1,0.20091839134693146,0.9290467500686646,0.20490732789039612,0.974785566329956,0.20091839134693146,0.9290467500686646
69.21647,105.04396,1,0.15822584927082062,0.9341727495193481,0.20485123991966248,0.9742226004600525,0.15822584927082062,0.9341727495193481
83.45688,103.74762,1,0.18807731568813324,0.9303463101387024,0.20489339530467987,0.9747198820114136,0.18807731568813324,0.9303463101387024
78.56983,101.90057,1,0.17654849588871002,0.9316543936729431,0.2048797905445099,0.9746472835540771,0.17654849588871002,0.9316543936729431
88.632385,99.52343,1,0.20072904229164124,0.9290658235549927,0.2049071192741394,0.9747849106788635,0.20072904229164124,0.9290658235549927
75.12909,97.794785,1,0.16906411945819855,0.9326167702674866,0.20486968755722046,0.9744967222213745,0.16906411945819855,0.9326167702674866
75.80483,95.653244,1,0.1704336255788803,0.932427167892456,0.20487171411514282,0.9745274782180786,0.1704336255788803,0.932427167892456
81.228355,93.57291,1,0.18271273374557495,0.9309245347976685,0.2048873007297516,0.9746935963630676,0.18271273374557495,0.9309245347976685
95.57491,92.12005,1,0.21644344925880432,0.9276165962219238,0.20493251085281372,0.9748634099960327,0.21644344925880432,0.9276165962219238
99.05851,92.181656,1,0.2247098833322525,0.9269607067108154,0.20495112240314484,0.9748979806900024,0.2247098833322525,0.9269607067108154
92.43672,93.34268,1,0.20928363502025604,0.9282341599464417,0.20491819083690643,0.9748263955116272,0.20928363502025604,0.9282341599464417
144.76991,94.54843,1,0.329182505607605,0.9201452732086182,0.20513726770877838,0.975228488445282,0.329182505607605,0.9201452732086182
173.03966,99.35691,1,0.39591801166534424,0.9187219142913818,0.20520229637622833,0.9752606749534607,0.39591801166534424,0.9187219142913818
183.64317,107.73045,1,0.41927996277809143,0.9174770712852478,0.20522241294384003,0.975269615650177,0.41927996277809143,0.9174770712852478
