Actual_Traffic,Predicted_Traffic,UPF_Config,Energy_Wh_Actual,QoS_Score_Actual
95.57491,92.12005,"('DPDK', 1)",0.20493251085281372,0.9748634099960327
99.05851,92.181656,"('DPDK', 1)",0.20495112240314484,0.9748979806900024
92.43672,93.34268,"('DPDK', 1)",0.20491819083690643,0.9748263955116272
144.76991,94.54843,"('DPDK', 1)",0.20513726770877838,0.975228488445282
173.03966,99.35691,"('DPDK', 1)",0.20520229637622833,0.9752606749534607
183.64317,107.73045,"('DPDK', 1)",0.20522241294384003,0.975269615650177
204.849,118.00802,"('DPDK', 1)",0.20525938272476196,0.975293755531311
243.3266,129.77039,"('DPDK', 1)",0.2053176611661911,0.9753127098083496
205.10437,144.01102,"('DPDK', 1)",0.2052597999572754,0.9752923846244812
181.0352,154.85373,"('DPDK', 1)",0.20521757006645203,0.9752671718597412
148.8819,160.53767,"('DPDK', 1)",0.20514823496341705,0.9752389788627625
144.54718,159.96182,"('DPDK', 1)",0.20513665676116943,0.9752275943756104
156.44606,155.52339,"('DPDK', 1)",0.20516645908355713,0.9752453565597534
136.00374,150.182,"('DPDK', 1)",0.20511199533939362,0.9751578569412231
130.83182,143.2411,"('DPDK', 1)",0.20509541034698486,0.9751105904579163
107.83934,135.777,"('DPDK', 1)",0.2049953043460846,0.9749886989593506
101.24243,127.08393,"('DPDK', 1)",0.20496246218681335,0.9749253392219543
109.53982,118.20716,"('DPDK', 1)",0.20500344038009644,0.9749959707260132
105.47917,110.81401,"('DPDK', 1)",0.20498378574848175,0.9749642014503479
114.62478,104.76828,"('DPDK', 1)",0.20502705872058868,0.9749968647956848
111.96395,100.86544,"('DPDK', 1)",0.20501482486724854,0.9749964475631714
126.29993,98.45238,"('DPDK', 1)",0.20507827401161194,0.9750660061836243
119.598206,98.25397,"('DPDK', 1)",0.20504917204380035,0.9749963879585266
153.53519,98.882484,"('DPDK', 1)",0.20515969395637512,0.975243866443634
168.09651,102.4637,"('DPDK', 1)",0.20519238710403442,0.9752545356750488
139.95586,108.4196,"('DPDK', 1)",0.20512402057647705,0.9751889109611511
176.5917,113.00333,"('DPDK', 1)",0.2052091658115387,0.9752615690231323
160.74718,119.08099,"('DPDK', 1)",0.2051762491464615,0.9752500057220459
214.69365,124.03036,"('DPDK', 1)",0.2052752673625946,0.975300669670105
215.17982,131.9407,"('DPDK', 1)",0.20527604222297668,0.9753010869026184
164.78413,140.5329,"('DPDK', 1)",0.205185204744339,0.9752548933029175
175.81477,144.54947,"('DPDK', 1)",0.2052076756954193,0.9752582311630249
189.42035,146.4316,"('DPDK', 1)",0.2052328884601593,0.975275993347168
169.71008,147.7864,"('DPDK', 1)",0.20519572496414185,0.9752573370933533
187.61433,147.0128,"('DPDK', 1)",0.20522965490818024,0.9752779006958008
187.9461,146.5374,"('DPDK', 1)",0.205230250954628,0.9752758741378784
165.27438,146.16405,"('DPDK', 1)",0.20518627762794495,0.9752517342567444
216.03633,144.06464,"('DPDK', 1)",0.20527738332748413,0.9753032922744751
231.21889,145.26698,"('DPDK', 1)",0.20530037581920624,0.9753167629241943
224.02861,149.19711,"('DPDK', 1)",0.20528967678546906,0.9753096103668213
276.95377,153.59848,"('DPDK', 1)",0.20536059141159058,0.9751346111297607
299.09906,162.07382,"('DPDK', 1)",0.20538398623466492,0.9749726057052612
