timesteps,ep_return,ep_len,sec_mean,power_mean,perf_mean,qos_violation_rate,switches,scale_events,frac_time_oai,mean_k
84708,-2469.959997922182,2353,0.008496493565593876,0.8379118312078996,0.9612198100412241,0.2711432214194645,258,0,0.2711432214194645,1.0
94120,-2443.8707656264305,2353,0.008424649887713907,0.8469641871063243,0.961601212361089,0.2617934551636209,256,0,0.2617934551636209,1.0
94120,-2428.4656145125628,2353,0.008426252371187076,0.8462309575921872,0.9620332929412203,0.2532936676583085,254,0,0.2532936676583085,1.0
94120,-2464.44468434155,2353,0.008574281381011718,0.8463970584612018,0.9619375261356615,0.2545686357841054,252,0,0.2545686357841054,1.0
94120,-2500.9916286468506,2353,0.008527732132651036,0.8569662337145094,0.9607190483689461,0.2779430514237144,260,0,0.2779430514237144,1.0
103532,-2547.567911475897,2353,0.00871872833571359,0.8756051869327547,0.9609529422892948,0.26604334891627707,262,0,0.26604334891627707,1.0
103532,-2536.2056465297937,2353,0.008680486906742573,0.8737011417094261,0.9608570210892142,0.27156821079473015,262,0,0.27156821079473015,1.0
103532,-2503.8337657898664,2353,0.008474474080157087,0.8694034403960248,0.9604258463578279,0.2821929451763706,258,0,0.2821929451763706,1.0
103532,-2560.2993827462196,2353,0.008711156407109934,0.8745886471694042,0.9603911175202979,0.2804929876753081,270,0,0.2804929876753081,1.0
112944,-2554.4651251882315,2353,0.008516849198327564,0.8739005123307438,0.9593450001488835,0.30259243518912027,290,0,0.30259243518912027,1.0
112944,-2561.41084651649,2353,0.008674537637134435,0.8701651034535522,0.9600982373691953,0.287292817679558,278,0,0.287292817679558,1.0
112944,-2474.0229037106037,2353,0.008494907089450096,0.8584956072312033,0.9613239784165742,0.26476838079048026,251,0,0.26476838079048026,1.0
112944,-2502.6939826458693,2353,0.008493713800638243,0.8574354072808713,0.9604897735425881,0.2821929451763706,270,0,0.2821929451763706,1.0
122356,-2522.7770351469517,2353,0.00860356012388155,0.8556261193838416,0.9606048367249423,0.2796430089247769,272,0,0.2796430089247769,1.0
122356,-2497.470008790493,2353,0.0085966335658041,0.851951750273204,0.9611385017063483,0.2711432214194645,256,0,0.2711432214194645,1.0
122356,-2559.44776917994,2353,0.008609351556478215,0.8627951748817969,0.9596382809658026,0.2987675308117297,277,0,0.2987675308117297,1.0
122356,-2452.5668751746416,2353,0.008365896753187078,0.8405814715967855,0.9609452497183998,0.27624309392265195,251,0,0.27624309392265195,1.0
131768,-2421.549974322319,2353,0.008311513405850516,0.8311910990244067,0.9613634139185402,0.26986825329366765,253,0,0.26986825329366765,1.0
131768,-2468.6813070625067,2353,0.008435316547403912,0.8386095325033867,0.9608338710555512,0.2800679983000425,262,0,0.2800679983000425,1.0
131768,-2514.726115465164,2353,0.008566486418462539,0.8506761682676955,0.9605150221005126,0.28304292392690183,271,0,0.28304292392690183,1.0
131768,-2504.0583883076906,2353,0.008493539250483108,0.8508698186163086,0.9602624542704046,0.29026774330641736,265,0,0.29026774330641736,1.0
141180,-2418.0246932804585,2353,0.008330060128926838,0.8334322992001398,0.9616064687662818,0.2643433914152146,252,0,0.2643433914152146,1.0
141180,-2472.9107564240694,2353,0.008467158443570339,0.8421264837206651,0.9610321723903132,0.27369315767105823,263,0,0.27369315767105823,1.0
141180,-2425.9971060454845,2353,0.008339772559286805,0.8238231268174284,0.9613210382838479,0.27241818954526137,252,0,0.27241818954526137,1.0
141180,-2386.122644916177,2353,0.008241221067961503,0.8181851838580406,0.9617980829057317,0.2634934126646834,251,0,0.2634934126646834,1.0
150592,-2447.287192776799,2353,0.008369721214002401,0.8367516962812143,0.9610358732485336,0.2758181045473863,258,0,0.2758181045473863,1.0
150592,-2435.407128125429,2353,0.008381820386639788,0.8312382221576563,0.9613569713479856,0.27071823204419887,247,0,0.27071823204419887,1.0
150592,-2399.0762244164944,2353,0.008343630466575363,0.814424547270618,0.9619670718515674,0.26136846578835526,229,0,0.26136846578835526,1.0
150592,-2368.530173406005,2353,0.008273854944736234,0.8093953083486594,0.9623811955255395,0.2532936676583085,231,0,0.2532936676583085,1.0
160004,-2369.3920794576406,2353,0.008158229947580153,0.8128778777424447,0.9616390283291156,0.2690182745431364,235,0,0.2690182745431364,1.0
160004,-2312.0054274499416,2353,0.008051553999160485,0.7940965625411949,0.9624343973952965,0.25584360390990224,224,0,0.25584360390990224,1.0
160004,-2337.208161726594,2353,0.008143825393765404,0.7994186843753722,0.9623058482124306,0.2579685507862303,222,0,0.2579685507862303,1.0
160004,-2316.4531890302896,2353,0.008115265786384983,0.8020072585463371,0.9627061538426763,0.2498937526561836,205,0,0.2498937526561836,1.0
169416,-2339.6560130268335,2353,0.008096085245654944,0.7988394219927012,0.9619849638841631,0.263918402039949,226,0,0.263918402039949,1.0
169416,-2343.2951947152615,2353,0.008037734144837095,0.8008858451577789,0.9615002687414099,0.27454313642158945,227,0,0.27454313642158945,1.0
169416,-2251.1012473404408,2353,0.008000181931084045,0.7802830383061248,0.9636112098181141,0.2358691032724182,195,0,0.2358691032724182,1.0
169416,-2227.6301010996103,2353,0.007790003158112523,0.7808464945654539,0.9630053444360602,0.24819379515512113,197,0,0.24819379515512113,1.0
178828,-2268.9779729545116,2353,0.007809476223681241,0.7852387084030771,0.962062753594484,0.2656183595410115,200,0,0.2656183595410115,1.0
178828,-2252.5030675530434,2353,0.00768061687131252,0.7897737074850774,0.9616686480378679,0.2753931151721207,203,0,0.2753931151721207,1.0
178828,-2316.279814273119,2353,0.007849747565789865,0.794104619984722,0.9610827333158095,0.28389290267743306,218,0,0.28389290267743306,1.0
178828,-2232.2755283415318,2353,0.007617458523517491,0.7851593799911253,0.9619195650498309,0.2690182745431364,200,0,0.2690182745431364,1.0
