timesteps,ep_return,ep_len,sec_mean,power_mean,perf_mean,qos_violation_rate,switches,scale_events,frac_time_oai,mean_k
94120,-2522.276573702693,2353,0.007998360900676984,0.8428410587035186,0.9558320913576239,0.4003399915002125,286,68,0.4003399915002125,1.5573248407643312
94120,-2605.490047827363,2353,0.008085763357089704,0.8560145074542006,0.9541478381985763,0.4322141946451339,293,81,0.4322141946451339,1.519174041297935
94120,-2722.597626745701,2353,0.008144168451561403,0.8877969380393719,0.95119316019102,0.4934126646833829,299,115,0.4934126646833829,1.5340223944875109
94120,-2527.7672540545464,2353,0.007782203930349371,0.8398611438157859,0.954268472148062,0.43391415214619633,273,92,0.43391415214619633,1.5602350636630755
103532,-2589.1100150942802,2353,0.007927380925831272,0.8657851439813224,0.953728685721508,0.4394390140246494,283,92,0.4394390140246494,1.5193423597678917
103532,-2635.0859034359455,2353,0.008045887394809817,0.8877367122954528,0.9533267770480258,0.4445388865278368,291,91,0.4445388865278368,1.5564053537284894
103532,-2582.2369322031736,2353,0.008046434331011253,0.8605278997131474,0.9547412238422982,0.416489587760306,272,82,0.416489587760306,1.5336734693877552
103532,-2634.2283934503794,2353,0.00815265629806861,0.8661087302770505,0.9535462098885636,0.4483637909052274,285,95,0.4483637909052274,1.524170616113744
112944,-2500.3608367294073,2353,0.007831305544269284,0.8458477559618579,0.9557367171625153,0.3960900977475563,253,81,0.3960900977475563,1.4839055793991416
112944,-2436.048669591546,2353,0.007775525384898429,0.8232570205452185,0.9571587716170286,0.3671908202294943,243,74,0.3671908202294943,1.5023148148148149
112944,-2467.6040782779455,2353,0.00776460616803054,0.8273829992051536,0.9558424638830445,0.40161495962600935,248,91,0.40161495962600935,1.542857142857143
112944,-2497.273182615638,2353,0.007968358560390075,0.8424840018032866,0.9564670648313409,0.384190395240119,233,88,0.384190395240119,1.5055309734513274
122356,-2389.382390797138,2353,0.0077446387213711415,0.8064483277756156,0.9580768861519343,0.3523161920951976,218,77,0.3523161920951976,1.5669481302774426
122356,-2431.742709621787,2353,0.007607651341673267,0.8207012707255923,0.9561363135912142,0.3905652358691033,220,95,0.3905652358691033,1.5136017410228508
122356,-2373.4482845366,2353,0.007655426687384843,0.796050193965359,0.9578945421179558,0.3569910752231194,197,87,0.3569910752231194,1.5119047619047619
122356,-2437.639894336462,2353,0.00777188261183825,0.8184768158326593,0.9570141175023252,0.3710157246068848,201,93,0.3710157246068848,1.4959908361970218
131768,-2322.1229853332043,2353,0.007729114174137911,0.7899197581672588,0.9598742194546571,0.3144921376965576,182,76,0.3144921376965576,1.5283783783783784
131768,-2415.8415509462357,2353,0.007633821435666121,0.8213360022090113,0.9567412838143488,0.37824054398640033,217,90,0.37824054398640033,1.510112359550562
131768,-2333.057652205229,2353,0.007584918609838513,0.793087826755976,0.9588519380642817,0.3323416914577136,192,79,0.3323416914577136,1.485933503836317
