timesteps,elapsed_s,cpu_pct,cpu_freq_mhz,ram_gb,ram_pct,gpu_power_w,gpu_mem_gb,gpu_util_pct,gpu_temp_c,cumulative_energy_wh
215000,310.0378968715668,3.7,4049.991999999999,9.655113220214844,3.8,,,,,0.0
216000,312.02632570266724,3.4,4049.991999999999,9.641517639160156,3.8,,,,,0.0
217000,312.2705612182617,3.5,4049.991999999999,9.64944839477539,3.8,,,,,0.0
218000,315.6637942790985,3.3,4049.991999999999,9.649803161621094,3.8,,,,,0.0
219000,315.9072804450989,3.1,4049.991999999999,9.649803161621094,3.8,,,,,0.0
220000,317.890798330307,3.4,4049.991999999999,9.655555725097656,3.8,,,,,0.0
221000,318.1340355873108,3.6,4049.991999999999,9.655567169189453,3.8,,,,,0.0
222000,321.5285530090332,3.3,4049.991999999999,9.65505599975586,3.8,,,,,0.0
223000,321.77108550071716,3.5,4049.991999999999,9.656661987304688,3.8,,,,,0.0
224000,323.75045347213745,3.4,4049.991999999999,9.652503967285156,3.8,,,,,0.0
225000,323.9926857948303,3.4,4049.991999999999,9.653945922851562,3.8,,,,,0.0
226000,327.394150018692,3.4,4049.991999999999,9.66048812866211,3.8,,,,,0.0
227000,327.63639187812805,3.1,4049.991999999999,9.658073425292969,3.8,,,,,0.0
228000,329.616544008255,3.8,4049.991999999999,9.657997131347656,3.8,,,,,0.0
229000,329.85960030555725,3.1,4049.991999999999,9.658210754394531,3.8,,,,,0.0
230000,333.2629520893097,3.6,4049.991999999999,9.653911590576172,3.8,,,,,0.0
231000,333.5060029029846,3.1,4049.991999999999,9.653911590576172,3.8,,,,,0.0
232000,335.48942708969116,3.4,4049.991999999999,9.65472412109375,3.8,,,,,0.0
233000,335.7326955795288,3.2,4049.991999999999,9.65472412109375,3.8,,,,,0.0
234000,339.13541078567505,3.4,4049.991999999999,9.656719207763672,3.8,,,,,0.0
235000,339.380487203598,3.6,4049.991999999999,9.656669616699219,3.8,,,,,0.0
236000,341.35903906822205,3.4,4049.991999999999,9.654556274414062,3.8,,,,,0.0
237000,341.6016061306,3.6,4049.991999999999,9.655097961425781,3.8,,,,,0.0
238000,344.97809648513794,3.3,4049.991999999999,9.647785186767578,3.8,,,,,0.0
239000,345.2217309474945,4.0,4049.991999999999,9.646305084228516,3.8,,,,,0.0
240000,347.20677518844604,3.4,4049.991999999999,9.663074493408203,3.8,,,,,0.0
241000,347.4505789279938,3.6,4049.991999999999,9.655384063720703,3.8,,,,,0.0
242000,350.8463716506958,3.4,4049.991999999999,9.648582458496094,3.8,,,,,0.0
243000,351.0918972492218,3.8,4049.991999999999,9.648101806640625,3.8,,,,,0.0
244000,353.08428835868835,3.5,4049.991999999999,9.65469741821289,3.8,,,,,0.0
245000,353.329128742218,3.5,4049.991999999999,9.646404266357422,3.8,,,,,0.0
246000,356.6892178058624,3.4,4049.991999999999,9.646717071533203,3.8,,,,,0.0
247000,356.9325957298279,3.3,4049.991999999999,9.646717071533203,3.8,,,,,0.0
248000,358.91003465652466,3.4,4049.991999999999,9.681724548339844,3.8,,,,,0.0
249000,359.1538143157959,3.6,4049.991999999999,9.698497772216797,3.9,,,,,0.0
250000,362.5234570503235,3.4,4049.991999999999,9.710254669189453,3.9,,,,,0.0
251000,362.7669463157654,3.2,4049.991999999999,9.706958770751953,3.9,,,,,0.0
252000,364.75288820266724,3.3,4049.991999999999,9.712657928466797,3.9,,,,,0.0
253000,364.99744606018066,3.2,4049.991999999999,9.712657928466797,3.9,,,,,0.0
254000,368.40109848976135,3.4,4049.991999999999,9.686103820800781,3.8,,,,,0.0
255000,368.64473032951355,3.1,4049.991999999999,9.686103820800781,3.8,,,,,0.0
256000,370.6253798007965,3.4,4049.991999999999,9.695449829101562,3.9,,,,,0.0
257000,370.86903047561646,3.3,4049.991999999999,9.693458557128906,3.9,,,,,0.0
258000,372.8500726222992,3.4,4049.991999999999,9.678916931152344,3.8,,,,,0.0
259000,374.4918396472931,3.4,4049.991999999999,9.680290222167969,3.8,,,,,0.0
260000,376.4833788871765,3.3,4049.991999999999,9.68185806274414,3.8,,,,,0.0
261000,376.7282865047455,3.6,4049.991999999999,9.679168701171875,3.8,,,,,0.0
262000,378.7327103614807,3.4,4049.991999999999,9.683170318603516,3.8,,,,,0.0
263000,380.40118527412415,3.4,4049.991999999999,9.690654754638672,3.9,,,,,0.0
264000,382.40519857406616,3.4,4049.991999999999,9.697029113769531,3.9,,,,,0.0
265000,382.65061140060425,3.3,4049.991999999999,9.697509765625,3.9,,,,,0.0
266000,384.6138861179352,3.4,4049.991999999999,9.693183898925781,3.9,,,,,0.0
267000,386.2599775791168,3.4,4049.991999999999,9.687000274658203,3.8,,,,,0.0
268000,388.2119333744049,3.4,4049.991999999999,9.695804595947266,3.9,,,,,0.0
269000,388.45251965522766,3.5,4049.991999999999,9.702629089355469,3.9,,,,,0.0
270000,390.41109323501587,3.3,4049.991999999999,9.6851806640625,3.8,,,,,0.0
271000,392.0560586452484,3.4,4049.991999999999,9.693073272705078,3.9,,,,,0.0
