step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation,type_switch,scale_event,cooldown_blocked
103,164.7582,,DPDK,0.820741,0.205185,0.975256,0.00498149,0,0,0,0
104,161.0826,,DPDK,0.820708,0.205177,0.975251,0.00509495,0,0,0,0
105,147.1553,,DPDK,0.820575,0.205144,0.975239,0.00557625,0,0,0,0
106,145.3807,,DPDK,0.820556,0.205139,0.975231,0.00564419,0,0,0,0
107,147.3772,,DPDK,0.820577,0.205144,0.975239,0.00556787,0,0,0,0
108,162.003,,DPDK,0.820716,0.205179,0.975251,0.00506605,0,0,0,0
109,140.8648,,DPDK,0.820506,0.205127,0.975194,0.00582478,0,0,0,0
110,121.1671,,DPDK,0.820224,0.205056,0.975017,0.00676936,0,0,0,0
111,133.983,,DPDK,0.820422,0.205106,0.975138,0.00612333,0,0,0,0
112,145.6321,,DPDK,0.820558,0.20514,0.975232,0.00563446,0,0,0,0
113,163.6269,,DPDK,0.820731,0.205183,0.975252,0.00501587,0,0,0,0
114,157.1475,,DPDK,0.820672,0.205168,0.97525,0.00522231,0,0,0,0
115,159.4329,,DPDK,0.820693,0.205173,0.975252,0.00514758,0,0,0,0
116,166.5311,,DPDK,0.820756,0.205189,0.975256,0.00492855,0,0,0,0
117,171.6695,,DPDK,0.820798,0.2052,0.97526,0.00478127,0,0,0,0
118,192.5944,,DPDK,0.820954,0.205239,0.975279,0.00426261,0,0,0,0
119,202.501,,DPDK,0.821022,0.205255,0.97529,0.00405441,0,0,0,0
120,205.9639,,DPDK,0.821045,0.205261,0.975293,0.00398635,0,0,0,0
121,202.4733,,DPDK,0.821022,0.205255,0.97529,0.00405496,0,0,0,0
122,195.68,,DPDK,0.820976,0.205244,0.975281,0.0041955,0,0,0,0
123,200.4611,,DPDK,0.821008,0.205252,0.97529,0.0040956,0,0,0,0
124,198.6111,,DPDK,0.820996,0.205249,0.975284,0.00413368,0,0,0,0
125,200.2719,,DPDK,0.821007,0.205252,0.97529,0.00409946,0,0,0,0
126,174.3458,,DPDK,0.820819,0.205205,0.975258,0.004708,0,0,0,0
127,171.1905,,DPDK,0.820795,0.205199,0.975256,0.00479463,0,0,0,0
128,159.2528,,DPDK,0.820692,0.205173,0.975249,0.00515339,0,0,0,0
129,184.7967,,DPDK,0.820898,0.205225,0.975273,0.00444217,0,0,0,0
130,196.5394,,DPDK,0.820982,0.205245,0.975285,0.00417719,0,0,0,0
131,192.8724,,DPDK,0.820956,0.205239,0.97528,0.00425647,0,0,0,0
132,193.4458,,DPDK,0.82096,0.20524,0.975278,0.00424388,0,0,0,0
133,183.9069,,DPDK,0.820892,0.205223,0.975272,0.00446363,0,0,0,0
134,171.7326,,DPDK,0.820799,0.2052,0.975257,0.00477952,0,0,0,0
135,175.6339,,DPDK,0.820829,0.205207,0.975264,0.00467352,0,0,0,0
136,183.8749,,DPDK,0.820891,0.205223,0.975272,0.0044644,0,0,0,0
137,194.975,,DPDK,0.820971,0.205243,0.975279,0.00421065,0,0,0,0
138,210.2696,,DPDK,0.821073,0.205268,0.975301,0.00390486,0,0,0,0
139,201.8292,,DPDK,0.821017,0.205254,0.975287,0.00406788,0,0,0,0
140,214.6113,,DPDK,0.821101,0.205275,0.975301,0.00382599,0,0,0,0
141,193.2995,,DPDK,0.820959,0.20524,0.975281,0.00424708,0,0,0,0
142,200.341,,DPDK,0.821007,0.205252,0.975289,0.00409805,0,0,0,0
143,176.0663,,DPDK,0.820833,0.205208,0.975264,0.00466207,0,0,0,0
144,149.6133,,DPDK,0.820601,0.20515,0.975241,0.00548481,0,0,0,0
145,130.2357,,DPDK,0.820374,0.205093,0.975102,0.00629915,0,0,0,0
146,118.8733,,DPDK,0.820184,0.205046,0.974995,0.00689965,0,0,0,0
147,112.0201,,DPDK,0.82006,0.205015,0.974998,0.00732065,0,0,0,0
148,101.297,,DPDK,0.819851,0.204963,0.974924,0.00809354,0,0,0,0
149,92.9228,,DPDK,0.819681,0.20492,0.974834,0.00882109,0,0,0,0
150,82.7139,,1xOAI,0.744702,0.186176,0.930532,0.00900335,0,1,0,0
151,71.3328,,1xOAI,0.648769,0.162192,0.933616,0.00909496,0,0,0,0
152,64.7207,,1xOAI,0.596605,0.149151,0.935407,0.00921814,0,0,0,0
153,50.71,,1xOAI,0.462025,0.115506,0.934826,0.00911111,0,0,0,0
154,60.832,,1xOAI,0.561095,0.140274,0.935762,0.00922368,0,0,0,0
