step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation,type_switch,scale_event,cooldown_blocked
131,192.8724,140.2868,DPDK,0.820956,0.205239,0.97528,0.00425647,0,0,0,0
132,193.4458,140.4846,DPDK,0.82096,0.20524,0.975278,0.00424388,0,0,0,0
133,183.9069,139.4294,DPDK,0.820892,0.205223,0.975272,0.00446363,0,0,0,0
134,171.7326,138.1056,DPDK,0.820799,0.2052,0.975257,0.00477952,0,0,0,0
135,175.6339,137.3976,DPDK,0.820829,0.205207,0.975264,0.00467352,0,0,0,0
136,183.8749,137.9498,DPDK,0.820891,0.205223,0.975272,0.0044644,0,0,0,0
137,194.975,140.3432,DPDK,0.820971,0.205243,0.975279,0.00421065,0,0,0,0
138,210.2696,142.8091,DPDK,0.821073,0.205268,0.975301,0.00390486,0,0,0,0
139,201.8292,146.0482,DPDK,0.821017,0.205254,0.975287,0.00406788,0,0,0,0
140,214.6113,147.608,DPDK,0.821101,0.205275,0.975301,0.00382599,0,0,0,0
141,193.2995,148.6203,DPDK,0.820959,0.20524,0.975281,0.00424708,0,0,0,0
142,200.341,147.1835,DPDK,0.821007,0.205252,0.975289,0.00409805,0,0,0,0
143,176.0663,142.4938,DPDK,0.820833,0.205208,0.975264,0.00466207,0,0,0,0
144,149.6133,135.0352,DPDK,0.820601,0.20515,0.975241,0.00548481,0,0,0,0
145,130.2357,126.0566,DPDK,0.820374,0.205093,0.975102,0.00629915,0,0,0,0
146,118.8733,116.5736,DPDK,0.820184,0.205046,0.974995,0.00689965,0,0,0,0
147,112.0201,106.6929,DPDK,0.82006,0.205015,0.974998,0.00732065,0,0,0,0
148,101.297,97.4622,DPDK,0.819851,0.204963,0.974924,0.00809354,0,0,0,0
149,92.9228,88.9191,2xOAI,0.815797,0.203949,0.934215,0.0087793,0,1,0,0
150,82.7139,80.9682,2xOAI,0.672861,0.168215,0.93343,0.0081348,0,0,0,0
151,71.3328,73.7546,2xOAI,0.59472,0.14868,0.93098,0.00833727,0,0,0,0
152,64.7207,66.8497,2xOAI,0.503109,0.125777,0.928875,0.00777353,0,0,0,0
153,50.71,61.8856,2xOAI,0.497521,0.12438,0.923689,0.0098111,0,0,0,0
154,60.832,57.8517,2xOAI,0.457872,0.114468,0.92752,0.00752684,0,0,0,0
