step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation,type_switch,scale_event,cooldown_blocked
147,150.3839,128.1127,DPDK,0.820609,0.205152,0.975239,0.00545676,0,0,0,0
148,140.6484,115.7791,DPDK,0.820504,0.205126,0.975194,0.00583372,0,0,0,0
149,135.4528,104.8549,DPDK,0.820441,0.20511,0.975152,0.00605702,0,0,0,0
150,119.3241,93.0723,DPDK,0.820192,0.205048,0.974997,0.00687365,0,0,0,0
151,83.3117,82.169,DPDK,0.819572,0.204893,0.97472,0.00983742,0,0,0,0
152,80.4055,72.7356,DPDK,0.81954,0.204885,0.974681,0.01019258,0,0,0,0
153,74.4896,63.7519,2xOAI,0.61766,0.154415,0.931935,0.00829189,0,1,0,0
154,54.7622,56.5376,2xOAI,0.456802,0.114201,0.925328,0.00834157,0,0,0,0
155,59.223,51.1244,2xOAI,0.454899,0.113725,0.926968,0.00768111,0,0,0,0
156,53.6189,47.593,2xOAI,0.469109,0.117277,0.924901,0.00874894,0,0,0,0
157,55.0654,45.3928,2xOAI,0.453582,0.113396,0.925471,0.00823715,0,0,0,0
158,50.9517,44.3334,2xOAI,0.496033,0.124008,0.923811,0.00973537,0,0,0,0
159,49.9097,43.1546,2xOAI,0.497234,0.124309,0.923336,0.00996267,0,0,0,0
160,33.6896,42.4568,1xOAI,0.268096,0.067024,0.929744,0.00795782,0,0,1,0
161,36.1306,46.4922,1xOAI,0.302328,0.075582,0.931263,0.00836763,0,0,0,0
162,94.3141,51.5662,1xOAI,0.854276,0.213569,0.927872,0.00905778,0,0,0,0
163,69.6796,54.4887,1xOAI,0.636448,0.159112,0.934053,0.00913391,0,0,0,0
164,40.3556,56.6239,1xOAI,0.322544,0.080636,0.933259,0.00799256,0,0,0,0
165,47.7962,56.8759,1xOAI,0.425722,0.106431,0.934417,0.00890703,0,0,0,0
166,29.732,55.9732,1xOAI,0.227615,0.056904,0.927046,0.00765553,0,0,0,0
167,27.3872,54.3913,1xOAI,0.228323,0.057081,0.925344,0.00833685,0,0,0,0
168,23.442,52.7342,1xOAI,0.225225,0.056306,0.921925,0.00960776,0,0,0,0
169,22.6979,52.7586,1xOAI,0.217354,0.054338,0.92119,0.00957594,0,0,0,0
170,38.3465,53.1263,1xOAI,0.309543,0.077386,0.932594,0.00807228,0,0,0,0
171,26.6348,54.5124,1xOAI,0.236428,0.059107,0.924786,0.00887668,0,0,0,0
172,28.0002,57.416,1xOAI,0.225217,0.056304,0.925804,0.00804339,0,0,0,0
173,46.2569,61.1263,1xOAI,0.405092,0.101273,0.934176,0.00875744,0,0,0,0
174,47.4517,66.8087,1xOAI,0.421231,0.105308,0.934366,0.00887705,0,0,0,0
175,85.0479,73.0322,2xOAI,0.704168,0.176042,0.933589,0.00827967,0,0,1,0
176,85.5247,77.7741,2xOAI,0.711276,0.177819,0.933633,0.00831661,0,0,0,0
177,68.7847,82.6097,2xOAI,0.561074,0.140269,0.930181,0.00815696,0,0,0,0
178,87.4398,87.3215,2xOAI,0.739108,0.184777,0.933786,0.00845276,0,0,0,1
179,85.9296,91.4801,2xOAI,0.717204,0.179301,0.933654,0.00834641,0,0,0,0
180,89.0544,95.8527,DPDK,0.819633,0.204908,0.974789,0.00920373,0,1,0,0
181,105.4352,98.01,DPDK,0.819934,0.204984,0.974963,0.00777667,0,0,0,1
182,79.1319,97.0054,DPDK,0.819526,0.204881,0.974667,0.01035645,0,0,0,1
183,54.2197,94.694,DPDK,0.819185,0.204796,0.973094,0.01510864,0,0,0,1
184,61.1738,92.4933,1xOAI,0.564223,0.141056,0.935789,0.00922329,0,1,0,0
185,70.5582,90.2775,1xOAI,0.643011,0.160753,0.933827,0.0091132,0,0,0,0
186,66.0616,87.9085,1xOAI,0.608037,0.152009,0.935047,0.00920408,0,0,0,0
187,60.384,86.7837,1xOAI,0.557276,0.139319,0.935737,0.00922886,0,0,0,0
188,75.4912,86.096,DPDK,0.819483,0.204871,0.974515,0.01085535,0,1,0,0
189,69.3443,85.1731,DPDK,0.819407,0.204852,0.97423,0.0118165,0,0,0,1
190,60.485,85.7479,DPDK,0.819284,0.204821,0.973811,0.01354524,0,0,0,1
191,85.607,88.1015,DPDK,0.819597,0.204899,0.974747,0.00957394,0,0,0,0
192,99.1235,91.169,DPDK,0.819806,0.204951,0.974898,0.00827055,0,0,0,0
193,96.5079,97.0567,DPDK,0.81975,0.204938,0.974871,0.00849412,0,0,0,0
194,136.6252,105.9907,DPDK,0.820456,0.205114,0.975158,0.00600516,0,0,0,0
195,165.2575,118.343,DPDK,0.820745,0.205186,0.975257,0.00496646,0,0,0,0
196,201.2012,130.097,DPDK,0.821013,0.205253,0.975288,0.00408056,0,0,0,0
