t,rule_power,ff_power,ff_lower_or_equal,ff_vs_rule
171,0.4050919711589812,0.2364284992218017,True,FF <= Rule
172,0.4212311804294584,0.2252168655395507,True,FF <= Rule
173,0.768496751785278,0.4439129829406738,True,FF <= Rule
174,0.7732489705085752,0.4564757347106933,True,FF <= Rule
175,0.6295694708824155,0.7041683197021484,False,FF > Rule
176,0.7916592359542844,0.7112758159637451,True,FF <= Rule
177,0.7771210074424744,0.5610740184783936,True,FF <= Rule
178,0.8067576885223388,0.7391080856323242,True,FF <= Rule
179,0.8199342489242551,0.7172040939331055,True,FF <= Rule
180,0.8195255994796752,0.7621464729309082,True,FF <= Rule
181,0.8191854953765868,0.9679107666015624,False,FF > Rule
182,0.8192937970161436,0.6235687732696533,True,FF <= Rule
183,0.8194222450256348,0.4625844955444336,True,FF <= Rule
184,0.8193629384040833,0.4588985443115234,True,FF <= Rule
185,0.5572758316993712,0.5865943431854248,False,FF > Rule
186,0.6791856288909912,0.5181882381439209,True,FF <= Rule
187,0.6338673830032348,0.4566588401794433,True,FF <= Rule
188,0.5581344366073608,0.6183953285217285,False,FF > Rule
189,0.774092137813568,0.5708091259002686,True,FF <= Rule
190,0.8995175957679749,0.4568734169006347,True,FF <= Rule
191,0.8743956089019772,0.7124087810516357,True,FF <= Rule
192,0.82045578956604,0.8966939449310303,False,FF > Rule
193,0.8207449316978452,0.8197502493858337,True,FF <= Rule
194,0.8210132122039792,0.82045578956604,True,FF <= Rule
195,0.820913016796112,0.8207449316978455,True,FF <= Rule
196,0.820898711681366,0.8210132122039795,False,FF > Rule
197,0.8209813237190244,0.8209130167961121,True,FF <= Rule
198,0.8207548856735228,0.820898711681366,False,FF > Rule
199,0.8206959962844848,0.8209813237190247,False,FF > Rule
200,0.8205204010009765,0.820754885673523,False,FF > Rule
201,0.8206498622894284,0.8206959962844849,False,FF > Rule
202,0.820229351520538,0.8205204010009766,False,FF > Rule
203,0.8197686076164244,0.8206498622894287,False,FF > Rule
204,0.8196867108345032,0.8202293515205383,False,FF > Rule
205,0.8201022744178772,0.8197686076164246,True,FF <= Rule
206,0.8198290467262268,0.8196867108345032,True,FF <= Rule
207,0.8202390670776364,0.8201022744178772,True,FF <= Rule
208,0.8203918933868408,0.8198290467262268,True,FF <= Rule
209,0.8201497793197632,0.8202390670776367,False,FF > Rule
210,0.8201795816421508,0.8203918933868408,False,FF > Rule
211,0.82044780254364,0.8201497793197632,True,FF <= Rule
212,0.8205736279487608,0.8201795816421509,True,FF <= Rule
213,0.8204838633537292,0.8204478025436401,True,FF <= Rule
214,0.8204209804534912,0.820573627948761,False,FF > Rule
215,0.8206337094306944,0.8204838633537292,True,FF <= Rule
216,0.8206657171249389,0.8204209804534912,True,FF <= Rule
217,0.820781111717224,0.8206337094306946,True,FF <= Rule
218,0.8207316994667052,0.820665717124939,True,FF <= Rule
219,0.8206861615180968,0.8207811117172241,False,FF > Rule
220,0.8204658627510067,0.8207316994667053,False,FF > Rule
221,0.8206277489662168,0.8206861019134521,False,FF > Rule
222,0.8203251361846924,0.8204658627510071,False,FF > Rule
223,0.8206320405006408,0.820627748966217,True,FF <= Rule
224,0.8208380937576292,0.8203251361846924,True,FF <= Rule
225,0.82095593214035,0.8206320405006409,True,FF <= Rule
226,0.8208880424499512,0.8208380937576294,True,FF <= Rule
227,0.8208995461463928,0.8209559321403503,False,FF > Rule
228,0.8209156990051268,0.8208880424499512,True,FF <= Rule
229,0.8206936717033384,0.8208995461463928,False,FF > Rule
230,0.820800960063934,0.820915699005127,False,FF > Rule
231,0.8209648728370664,0.8206936717033386,True,FF <= Rule
232,0.8211840987205504,0.8208009600639343,True,FF <= Rule
233,0.8212605118751524,0.8209648132324219,True,FF <= Rule
234,0.8212780356407164,0.8211840987205505,True,FF <= Rule
235,0.8213050365447996,0.8212605118751526,True,FF <= Rule
236,0.8212922811508176,0.8212780356407166,True,FF <= Rule
